,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
215,13.18,13.18,2016-04-26,13.24,12.53,12.86,GPRO,5310100
216,12.82,12.82,2016-04-25,13.80,12.67,13.71,GPRO,11089500
217,13.98,13.98,2016-04-22,14.179,13.50,13.53,GPRO,6612300
218,13.56,13.56,2016-04-21,13.82,13.32,13.52,GPRO,5355000
219,13.44,13.44,2016-04-20,13.77,12.90,13.09,GPRO,8377700
220,12.95,12.95,2016-04-19,13.38,12.82,13.21,GPRO,5428600
221,13.13,13.13,2016-04-18,13.68,13.04,13.68,GPRO,7017100
222,13.77,13.77,2016-04-15,14.34,13.41,13.59,GPRO,9264100
223,13.80,13.80,2016-04-14,14.35,13.11,14.17,GPRO,17303400
224,13.90,13.90,2016-04-13,14.04,11.85,12.00,GPRO,21039600
225,11.68,11.68,2016-04-12,12.06,11.58,11.93,GPRO,4851800
226,11.77,11.77,2016-04-11,12.53,11.74,12.35,GPRO,5344900
227,12.32,12.32,2016-04-08,12.75,12.25,12.37,GPRO,4660000
228,12.29,12.29,2016-04-07,12.49,11.90,11.90,GPRO,5312900
229,12.12,12.12,2016-04-06,12.16,11.63,11.79,GPRO,5983800
230,11.65,11.65,2016-04-05,12.04,11.621,11.93,GPRO,4048000
231,12.03,12.03,2016-04-04,12.37,11.67,11.77,GPRO,5288200
232,11.74,11.74,2016-04-01,11.99,11.61,11.81,GPRO,3899000
233,11.96,11.96,2016-03-31,12.213,11.84,12.20,GPRO,4372200
234,12.16,12.16,2016-03-30,12.37,11.70,11.79,GPRO,6099000
235,11.65,11.65,2016-03-29,11.76,11.08,11.46,GPRO,7289900
236,11.50,11.50,2016-03-28,12.50,11.49,12.43,GPRO,6918800
237,12.42,12.42,2016-03-24,12.48,11.92,12.20,GPRO,2834000
238,12.27,12.27,2016-03-23,13.11,12.23,12.97,GPRO,4407500
239,12.97,12.97,2016-03-22,13.17,12.79,12.99,GPRO,3339300
240,13.07,13.07,2016-03-21,13.19,12.63,12.75,GPRO,3356800
241,12.88,12.88,2016-03-18,13.61,12.72,13.14,GPRO,6224300
242,12.95,12.95,2016-03-17,13.19,12.24,12.30,GPRO,6603100
243,12.31,12.31,2016-03-16,12.47,11.66,11.71,GPRO,6304800
244,11.70,11.70,2016-03-15,12.24,11.55,12.21,GPRO,6310700
245,12.27,12.27,2016-03-14,12.60,12.14,12.52,GPRO,5480000
246,12.60,12.60,2016-03-11,12.98,12.13,12.32,GPRO,6948200
247,12.18,12.18,2016-03-10,12.62,11.90,12.42,GPRO,5813500
248,12.28,12.28,2016-03-09,12.70,12.10,12.70,GPRO,4907100
249,12.41,12.41,2016-03-08,13.70,12.375,13.70,GPRO,10756600
250,13.88,13.88,2016-03-07,14.075,13.23,13.50,GPRO,9565100
251,13.36,13.36,2016-03-04,14.84,13.10,13.34,GPRO,14102400
252,13.58,13.58,2016-03-03,14.10,12.76,13.10,GPRO,10986000
